plant_id,common_name,botanical_name,family,type,lifespan,season,soil_moisture,sun
234,Palapalai,Microlepia strigosa (Thunb.) C. Presl,Dennstaedtiaceae,herbaceous,annual,spring,dry,full shade
235,Wild Balata,Micropholis guyanensis (A. DC.) Pierre,Sapotaceae,woody,na,fall,dry,partial shade
236,Cochise Sedge,Carex ultra L.H. Bailey,Cyperaceae,woody,na,summer,dry,full sun
237,Carolina Fimbry,Fimbristylis caroliniana (Lam.) Fernald,Cyperaceae,herbaceous,biannual,fall,dry,full shade
238,Pendantgrass,Arctophila fulva (Trin.) Rupr. ex Andersson,Poaceae,woody,na,summer,moderate,full sun
239,Arizona Bugbane,Actaea arizonica (S. Watson) J. Compton,Ranunculaceae,herbaceous,biannual,spring,moderate,full shade
240,Valley Oak,Quercus lobata Née,Fagaceae,woody,na,fall,wet,full shade
241,Asphodel,Narthecium Huds.,Liliaceae,herbaceous,biannual,fall,moderate,full shade
242,Florida Adder's-mouth Orchid,Malaxis spicata Sw.,Orchidaceae,herbaceous,perennial,summer,moderate,full shade
243,Dwarf Phlox,Phlox condensata (A. Gray) E.E. Nelson,Polemoniaceae,herbaceous,perennial,summer,dry,full sun
244,Herbaceous Blackberry,Rubus junceus Blanch.,Rosaceae,woody,na,summer,dry,full shade
245,Golden Chain Tree,Laburnum Medik.,Fabaceae,herbaceous,perennial,summer,moderate,full shade
246,Tall Ironweed,Vernonia angustifolia Michx.,Asteraceae,woody,na,summer,dry,full shade
247,Mudflat Quillplant,Lilaeopsis masonii Mathias & Constance,Apiaceae,herbaceous,annual,spring,moderate,full shade
248,Patterson's Bluegrass,Poa abbreviata R. Br. ssp. pattersonii (Vasey) Á. Löve & D. Löve & Kapoor,Poaceae,herbaceous,annual,summer,dry,partial shade
249,Manyflower Leastdaisy,Chaetopappa bellioides (A. Gray) Shinners,Asteraceae,woody,na,spring,moderate,full shade
250,Palmer's Spleenwort,Asplenium palmeri Maxon,Aspleniaceae,herbaceous,perennial,summer,moderate,full sun
251,Gongolin,Ilex sideroxyloides (Sw.) Griseb.,Aquifoliaceae,woody,na,fall,moderate,full shade
252,Western Burning Bush,Euonymus occidentalis Nutt. ex Torr. var. occidentalis,Celastraceae,woody,na,spring,dry,partial shade
253,Red Beaksedge,Rhynchospora rufa (Nees) Boeckeler,Cyperaceae,woody,na,fall,moderate,full sun
254,Pacific Dewberry,Rubus vitifolius Cham. & Schltdl. var. vitifolius,Rosaceae,herbaceous,perennial,fall,dry,full sun
255,Late Purple Aster,Symphyotrichum patens (Aiton) G.L. Nesom var. patentissimum (Lindl. ex DC.) G.L. Nesom,Asteraceae,herbaceous,annual,summer,dry,partial shade
256,Eggyolk Lichen,Candelariella lutella (Vain.) Rasanen,Candelariaceae,woody,na,summer,moderate,full shade
257,Michuacan Lady Orchid,Stenorrhynchos michuacanum (Llave & Lex.) Schltr.,Orchidaceae,herbaceous,annual,summer,dry,full shade
258,Dixie Ticktrefoil,Desmodium tortuosum (Sw.) DC.,Fabaceae,woody,na,summer,dry,full shade
259,Perplexed Chiodecton Lichen,Chiodecton perplexum Nyl.,Opegraphaceae,herbaceous,annual,summer,dry,full shade
260,Glycine,Glycine tabacina (Labill.) Benth.,Fabaceae,woody,na,fall,wet,full sun
261,Nailwort,Paronychia Mill.,Caryophyllaceae,herbaceous,annual,fall,wet,partial shade
262,Singapore Graveyard Flower,Plumeria obtusa L. var. obtusa,Apocynaceae,woody,na,fall,wet,full sun
263,Cobwebby Wild Indigo,Baptisia arachnifera Duncan,Fabaceae,woody,na,fall,moderate,partial shade
264,Scottish Licorice-root,Ligusticum scoticum L.,Apiaceae,woody,na,summer,moderate,partial shade
265,Skin Lichen,Leptogium marginellum (Sw.) A. Gray,Collemataceae,herbaceous,annual,summer,dry,full sun
266,Edwards Plateau Beardgrass,Bothriochloa edwardsiana (Gould) Parodi,Poaceae,woody,na,summer,wet,partial shade
267,Circumpolar Starwort,Stellaria ruscifolia Pall. ex Schltdl. ssp. ruscifolia,Caryophyllaceae,woody,na,spring,dry,full shade
268,Cup Lichen,Cladonia incrassata Flörke,Cladoniaceae,woody,na,summer,moderate,full sun
269,Field Sowthistle,Sonchus arvensis L. ssp. arvensis,Asteraceae,woody,na,summer,dry,full sun
270,Longleaf Brake,Pteris longifolia L.,Pteridaceae,woody,na,fall,wet,full sun
271,Physcomitrella Moss,Physcomitrella Bruch & Schimp.,Funariaceae,woody,na,spring,moderate,partial shade
272,Charlotte's Phacelia,Phacelia nashiana Jeps.,Hydrophyllaceae,herbaceous,biannual,fall,moderate,partial shade
273,Elaeagnus Willow,Salix elaeagnos Scop.,Salicaceae,woody,na,fall,moderate,partial shade
274,Shrubland Nehe,Lipochaeta lobata (Gaudich.) DC. var. lobata,Asteraceae,herbaceous,biannual,summer,dry,full shade
275,Lempholemma Lichen,Lempholemma radiatum (Sommerf.) Henssen,Lichinaceae,woody,na,summer,dry,partial shade
276,Flindersia,Flindersia R. Br.,Rutaceae,woody,na,spring,moderate,partial shade
277,Hawthorn,Crataegus ×simulata Sarg.,Rosaceae,woody,na,fall,wet,partial shade
278,Twogrooved Milkvetch,Astragalus bisulcatus (Hook.) A. Gray var. bisulcatus,Fabaceae,woody,na,summer,moderate,partial shade
279,Jewelweed,Impatiens capensis Meerb.,Balsaminaceae,woody,na,summer,wet,full shade
280,Trichosanthes,Trichosanthes L.,Cucurbitaceae,woody,na,summer,dry,full shade
281,Bigtooth Aspen,Populus grandidentata Michx.,Salicaceae,woody,na,spring,moderate,full sun
282,Godfrey's Stitchwort,Minuartia godfreyi (Shinners) McNeill,Caryophyllaceae,herbaceous,biannual,summer,dry,partial shade
283,Payson's Milkvetch,Astragalus paysonii (Rydb.) Barneby,Fabaceae,herbaceous,perennial,spring,wet,full shade
284,Small Limestone Moss,Seligeria calcarea (Hedw.) Bruch & Schimp.,Seligeriaceae,herbaceous,perennial,summer,moderate,full sun
285,Curlytop Gumweed,Grindelia nuda Alph. Wood,Asteraceae,woody,na,fall,dry,full shade
286,Small Green Wood Orchid,Platanthera clavellata (Michx.) Luer,Orchidaceae,herbaceous,biannual,spring,dry,partial shade
287,Santa Catalina Figwort,Scrophularia villosa Pennell,Scrophulariaceae,woody,na,fall,moderate,partial shade
288,Acaulon Moss,Acaulon muticum (Hedw.) Müll. Hal. var. muticum,Pottiaceae,woody,na,summer,dry,full sun
289,Long Valley Tumblemustard,Thelypodiopsis ambigua (S. Watson) Al-Shehbaz,Brassicaceae,herbaceous,perennial,spring,wet,full shade
290,Purplehead Sneezeweed,Helenium flexuosum Raf.,Asteraceae,herbaceous,perennial,summer,wet,partial shade
291,Quincula,Quincula Raf.,Solanaceae,woody,na,fall,wet,partial shade
292,James' Prairie Clover,Dalea jamesii (Torr.) Torr. & A. Gray,Fabaceae,herbaceous,biannual,fall,moderate,full shade
293,Fragile Sedge,Carex membranacea Hook.,Cyperaceae,woody,na,spring,dry,partial shade
294,Libertia,Libertia Spreng.,Iridaceae,woody,na,spring,wet,full sun
295,Elephant Creeper,Argyreia nervosa (Burm. f.) Bojer,Convolvulaceae,herbaceous,annual,fall,wet,partial shade
296,Silverscale Saltbush,Atriplex argentea Nutt. ssp. expansa (S. Watson) H.M. Hall & Clem.,Chenopodiaceae,herbaceous,annual,summer,moderate,full shade
297,Intermountain Clover,Trifolium andinum Nutt. var. andinum,Fabaceae,herbaceous,perennial,summer,moderate,full shade
298,Fowlsfoot,Serjania diversifolia (Jacq.) Radlk.,Sapindaceae,woody,na,summer,moderate,full shade
299,Mono Phacelia,Phacelia monoensis Halse,Hydrophyllaceae,herbaceous,biannual,spring,moderate,partial shade
300,Organ Mountain Laceleaf,Anthurium cordatum (L.) Schott,Araceae,woody,na,fall,dry,full shade
301,Star Of Bethlehem,Ornithogalum L.,Liliaceae,herbaceous,biannual,summer,wet,full sun
302,Ashleaf Goldenbanner,Thermopsis fraxinifolia Nutt. ex M.A. Curtis,Fabaceae,woody,na,fall,moderate,full shade
303,Douglas's Catchfly,Silene douglasii Hook. var. douglasii,Caryophyllaceae,herbaceous,biannual,spring,wet,partial shade
304,Splitleaf Cyanea,Cyanea grimesiana Gaudich. ssp. obatae (H. St. John) Lammers,Campanulaceae,woody,na,fall,wet,partial shade
305,Alaskan Wheatgrass,Elymus alaskanus (Scribn. & Merr.) Á. Löve ssp. alaskanus,Poaceae,herbaceous,annual,summer,dry,full sun
306,Jones' Columbine,Aquilegia jonesii Parry,Ranunculaceae,woody,na,fall,dry,full sun
307,Chee Reedgrass,Calamagrostis epigeios (L.) Roth ssp. glomerata (Boiss. & Buhse) Tzvelev,Poaceae,woody,na,summer,dry,full shade
308,Woolly Fingergrass,Digitaria eriantha Steud. ssp. pentzii (Stent) Kok,Poaceae,woody,na,spring,dry,partial shade
309,Wachendorfia,Wachendorfia Burm.,Haemodoraceae,herbaceous,biannual,fall,wet,full shade
310,White Locoweed,Oxytropis sericea Nutt. var. speciosa (Torr. & A. Gray) S.L. Welsh,Fabaceae,woody,na,summer,dry,partial shade
311,Cochise Foxtail Cactus,Escobaria robbinsiorum (W.H. Earle) D.R. Hunt,Cactaceae,woody,na,fall,moderate,full shade
312,Psorotichia Lichen,Psorotichia A. Massal.,Lichinaceae,herbaceous,biannual,spring,wet,full sun
313,Yellow Pond-lily,Nuphar lutea (L.) Sm. ssp. orbiculata (Small) E.O. Beal,Nymphaeaceae,woody,na,spring,wet,full sun
314,Swamp Larkspur,Delphinium uliginosum Curran,Ranunculaceae,herbaceous,biannual,fall,wet,full sun
315,Beaked Spiny Polygala,Polygala heterorhyncha (Barneby) T. Wendt,Polygalaceae,woody,na,spring,moderate,partial shade
316,Cottonseed,Micropus L.,Asteraceae,herbaceous,perennial,summer,dry,full shade
317,Santesson's Tricharia Lichen,Tricharia santessonii D. Hawksw.,Gomphillaceae,herbaceous,biannual,spring,dry,full shade
318,Trypelthelium Lichen,Trypethelium aeneum (Eschw.) Zahlbr.,Trypetheliaceae,herbaceous,biannual,fall,dry,full sun
319,Silver False Spleenwort,Deparia acrostichoides (Sw.) M. Kato,Dryopteridaceae,woody,na,summer,wet,partial shade
320,Bigelow's Monkeyflower,Mimulus bigelovii (A. Gray) A. Gray,Scrophulariaceae,woody,na,fall,wet,full sun
321,Boxelder,Acer negundo L. var. interius (Britton) Sarg.,Aceraceae,woody,na,fall,wet,partial shade
322,Crocynia Lichen,Crocynia (Ach.) A. Massal.,Crocyniaceae,woody,na,spring,moderate,partial shade
323,Lawn Marshpennywort,Hydrocotyle sibthorpioides Lam.,Apiaceae,herbaceous,annual,summer,wet,full shade
324,Sulphur Cosmos,Cosmos sulphureus Cav.,Asteraceae,herbaceous,perennial,spring,wet,full sun
325,Bluntleaf Waterleaf,Hydrophyllum canadense L.,Hydrophyllaceae,herbaceous,perennial,fall,moderate,partial shade
326,Racomitrium Moss,Racomitrium depressum Lesq.,Grimmiaceae,woody,na,summer,moderate,partial shade
327,Blackeyed Susan,Rudbeckia hirta L. var. hirta,Asteraceae,herbaceous,perennial,fall,wet,full shade
328,Hartweg's Paspalum,Paspalum hartwegianum Fourn.,Poaceae,woody,na,summer,dry,full shade
329,Florida Bellwort,Uvularia floridana Chapm.,Liliaceae,herbaceous,biannual,spring,wet,full sun
330,Black Elderberry,Sambucus nigra L.,Caprifoliaceae,herbaceous,biannual,spring,moderate,partial shade
331,Water Chestnut,Trapa L.,Trapaceae,woody,na,summer,wet,full sun
332,Anoectangium Moss,Anoectangium incurvans (Schimp. ex Besch.) E.B. Bartram,Pottiaceae,herbaceous,annual,summer,moderate,full sun
333,Sweet Scented Geranium,Pelargonium graveolens L'Hér. ex Aiton,Geraniaceae,herbaceous,perennial,fall,dry,full shade
334,Sedge,Carex ×subsalina Lepage,Cyperaceae,herbaceous,annual,fall,moderate,partial shade
335,Greenland Woodrush,Luzula groenlandica Böcher,Juncaceae,herbaceous,biannual,summer,wet,partial shade
336,Daisy Bush,Olearia Moench,Asteraceae,woody,na,spring,dry,full shade
337,Needlegrass,Stipa sibirica (L.) Lam.,Poaceae,herbaceous,perennial,summer,wet,full shade
338,Spleenwort,Asplenium ×inexpectatum (E.L. Braun ex Friesner) Morton,Aspleniaceae,herbaceous,biannual,spring,wet,partial shade
339,Corn Speedwell,Veronica arvensis L.,Scrophulariaceae,herbaceous,biannual,spring,wet,partial shade
340,Woolly Hedgenettle,Stachys byzantina K. Koch,Lamiaceae,woody,na,summer,dry,full shade
341,Achotillo,Caryocar amygdaliferum Mutis,Caryocaraceae,woody,na,spring,dry,full shade
342,American Bladdernut,Staphylea trifolia L.,Staphyleaceae,herbaceous,biannual,summer,wet,partial shade
343,Spineless Wattle,Acacia muricata (L.) Willd.,Fabaceae,woody,na,summer,dry,full sun
344,Sand Plain Dwarf Morning-glory,Evolvulus arenarius R.T. Harms,Convolvulaceae,herbaceous,annual,summer,dry,full sun
345,Kamalo Gulch Schiedea,Schiedea lydgatei Hillebr.,Caryophyllaceae,herbaceous,perennial,spring,wet,full shade
346,Blue Ridge Bittercress,Cardamine flagellifera O.E. Schulz var. hugeri (Small) Rollins,Brassicaceae,woody,na,spring,dry,partial shade
347,James' Waterlily,Nymphaea jamesoniana Planch.,Nymphaeaceae,herbaceous,biannual,summer,wet,partial shade
348,Cochise Scaly Cloakfern,Astrolepis cochisensis (Goodding) Benham & Windham ssp. cochisensis,Pteridaceae,herbaceous,perennial,summer,wet,partial shade
349,Blackspore Quillwort,Isoetes melanospora Engelm.,Isoetaceae,woody,na,spring,wet,full sun
350,Whorled Milkwort,Polygala verticillata L. var. verticillata,Polygalaceae,woody,na,spring,wet,full shade
351,'opiko,Psychotria mauiensis Fosberg,Rubiaceae,herbaceous,annual,summer,moderate,full sun
352,Lucy Braun's Rosinweed,Silphium terebinthinaceum Jacq. var. luciae-brauniae Steyerm.,Asteraceae,woody,na,summer,wet,full shade
353,Undulate Atrichum Moss,Atrichum undulatum (Hedw.) P. Beauv.,Polytrichaceae,herbaceous,annual,spring,wet,full sun
354,Midget Quillwort,Isoetes minima A.A. Eaton,Isoetaceae,woody,na,summer,dry,full sun
355,Hairtip Clubmoss,Lycopodium venustulum Gaudich. var. verticale W.H. Wagner,Lycopodiaceae,woody,na,summer,wet,full shade
356,Rim Lichen,Lecanora microbola H. Magn.,Lecanoraceae,woody,na,spring,dry,partial shade
357,Remya,Remya Hillebr. ex Benth.,Asteraceae,woody,na,fall,moderate,full shade
358,Whitefingers Lichen,Siphula Fr.,Uncertain Ascomycota Family,herbaceous,perennial,spring,moderate,full sun
359,Wetforest Cyanea,Cyanea hamatiflora Rock ssp. hamatiflora,Campanulaceae,woody,na,spring,wet,full sun
360,Island Rushrose,Helianthemum greenei B.L. Rob.,Cistaceae,woody,na,fall,moderate,full sun
361,False Locust,Hebestigma cubense (Kunth) Urb.,Fabaceae,herbaceous,annual,summer,dry,full sun
362,Fivenerve Helianthella,Helianthella quinquenervis (Hook.) A. Gray,Asteraceae,woody,na,fall,moderate,full shade
363,Darkbrown Sedge,Carex atrofusca Schkuhr var. atrofusca,Cyperaceae,herbaceous,annual,spring,wet,partial shade
364,Little Nipple Cactus,Mammillaria heyderi Muehlenpf. var. hemisphaerica Engelm.,Cactaceae,herbaceous,biannual,fall,dry,partial shade
365,Pink Plains Beardtongue,Penstemon ambiguus Torr. var. laevissimus (D.D. Keck) N.H. Holmgren,Scrophulariaceae,herbaceous,annual,spring,moderate,partial shade
366,Roundleaf Orchid,Amerorchis rotundifolia (Banks ex Pursh) Hultén,Orchidaceae,woody,na,fall,dry,partial shade
367,Pimpernel,Anagallis L.,Primulaceae,woody,na,summer,wet,full shade
368,Brittle Waternymph,Najas minor All.,Najadaceae,woody,na,spring,moderate,full shade
369,Wildrice,Zizania L.,Poaceae,herbaceous,annual,summer,wet,full shade
370,Pinyon Rockcress,Arabis dispar M.E. Jones,Brassicaceae,woody,na,summer,wet,full shade
371,Coinvine,Dalbergia ecastaphyllum (L.) Taubert,Fabaceae,woody,na,spring,moderate,partial shade
372,Hoary Buckwheat,Eriogonum saxatile S. Watson,Polygonaceae,woody,na,spring,wet,full sun
373,Ox-eye,Buphthalmum salicifolium L.,Asteraceae,herbaceous,perennial,fall,wet,partial shade
374,Herpetineuron Moss,Herpetineuron (Müll. Hal.) Cardot,Anomodontaceae,herbaceous,biannual,fall,moderate,partial shade
375,Gray Chickensage,Sphaeromeria cana (D.C. Eaton) A. Heller,Asteraceae,woody,na,summer,dry,full sun
376,Largeseed Goosefoot,Chenopodium macrospermum Hook. f.,Chenopodiaceae,woody,na,spring,dry,full shade
377,Malabar Plum,Syzygium jambos (L.) Alston,Myrtaceae,woody,na,summer,dry,full sun
378,Sprawling Dewberry,Rubus cubitans Blanch.,Rosaceae,woody,na,spring,wet,full shade
379,Quill Fleabane,Erigeron gracilis Rydb.,Asteraceae,woody,na,fall,moderate,full sun
380,Notable Wattle,Acacia notabilis F. Muell.,Fabaceae,woody,na,fall,dry,full shade
381,Pussytoes,Antennaria ×foliacea Greene (pro sp.),Asteraceae,woody,na,summer,dry,partial shade
382,Osmunda,Osmunda L.,Osmundaceae,herbaceous,annual,fall,dry,full sun
383,False Spotted St. Johnswort,Hypericum pseudomaculatum Bush,Clusiaceae,woody,na,fall,dry,full sun
384,Smallflower Grass Of Parnassus,Parnassia palustris L. var. parviflora (DC.) B. Boivin,Saxifragaceae,herbaceous,perennial,spring,wet,partial shade
385,Spotted Evening Primrose,Oenothera canescens Torr. & Frém.,Onagraceae,woody,na,summer,wet,full shade
386,Hooker's Scratchdaisy,Croptilon hookerianum (Torr. & A. Gray) House var. hookerianum,Asteraceae,herbaceous,annual,summer,moderate,full shade
387,Diffuse Wallflower,Erysimum diffusum Ehrh.,Brassicaceae,woody,na,summer,dry,partial shade
388,Parry's Mallow,Eremalche parryi (Greene) Greene ssp. parryi,Malvaceae,woody,na,fall,wet,full sun
389,Harvestlice,Agrimonia parviflora Aiton,Rosaceae,woody,na,spring,moderate,partial shade
390,Arrowleaf Violet,Viola sagittata Aiton var. ovata (Nutt.) Torr. & A. Gray,Violaceae,woody,na,spring,moderate,full shade
391,Subalpine Bedstraw,Galium hypotrichium A. Gray ssp. subalpinum (Hilend & J.T. Howell) Ehrend.,Rubiaceae,woody,na,summer,moderate,full sun
392,Quartzite Rimmed Lichen,Aspicilia quartzitica W.A. Weber,Hymeneliaceae,woody,na,summer,dry,full shade
393,Neckera Moss,Neckera pennata Hedw.,Neckeraceae,herbaceous,perennial,fall,wet,full sun
394,Green Hawthorn,Crataegus viridis L.,Rosaceae,herbaceous,perennial,spring,moderate,full sun
395,Scribner's Grass,Scribneria Hack.,Poaceae,woody,na,summer,dry,full sun
396,Small Limestone Moss,Seligeria oelandica C.E.O. Jensen & Medel.,Seligeriaceae,herbaceous,perennial,spring,dry,full sun
397,Barnacle Lichen,Thelotrema lacteum Krempelh.,Thelotremataceae,woody,na,summer,wet,full sun
398,Vavilov's Wheat,Triticum vavilovii Jakubz.,Poaceae,woody,na,summer,moderate,partial shade
399,Point Reyes Ceanothus,Ceanothus gloriosus J.T. Howell var. exaltatus J.T. Howell,Rhamnaceae,herbaceous,perennial,fall,wet,full sun
400,Bryocaulon Lichen,Bryocaulon divergens (Ach.) Karnefelt,Parmeliaceae,herbaceous,perennial,spring,dry,partial shade
401,Chapman Oak,Quercus chapmanii Sarg.,Fagaceae,herbaceous,biannual,fall,moderate,partial shade
402,Snake River Phlox,Phlox colubrina Wherry & Constance,Polemoniaceae,woody,na,summer,dry,full shade
403,Macdougal's Indian Parsley,Aletes macdougalii J.M. Coult. & Rose ssp. macdougalii,Apiaceae,woody,na,spring,moderate,full shade
404,Piedmont Threeawn,Aristida condensata Chapm.,Poaceae,herbaceous,biannual,summer,moderate,full shade
405,American Water Starwort,Stellaria fontinalis (Short & Peter) B.L. Rob.,Caryophyllaceae,woody,na,summer,dry,partial shade
406,Colorado False Hellebore,Veratrum tenuipetalum A. Heller,Liliaceae,woody,na,spring,wet,full shade
407,Swamp Flatsedge,Cyperus distinctus Steud.,Cyperaceae,herbaceous,annual,spring,moderate,partial shade
408,Idaho Bladderpod,Lesquerella carinata Rollins var. carinata,Brassicaceae,herbaceous,annual,summer,wet,full sun
409,Smallflower Threadplant,Nemacladus ramosissimus Nutt.,Campanulaceae,herbaceous,perennial,fall,dry,partial shade
410,Hupa Gooseberry,Ribes marshallii Greene,Grossulariaceae,herbaceous,annual,summer,dry,full sun
411,Cobblestone Milkvetch,Astragalus nudisiliquus A. Nelson,Fabaceae,herbaceous,perennial,fall,moderate,full shade
412,Chihuahua Scaly Cloakfern,Astrolepis cochisensis (Goodding) Benham & Windham ssp. chihuahuaensis Benham,Pteridaceae,herbaceous,biannual,fall,moderate,full sun
413,Orcutt's Gymnostomiella Moss,Gymnostomiella orcuttii E.B. Bartram,Pottiaceae,woody,na,summer,wet,full sun
414,Cyrtandra,Cyrtandra ×hosakae H. St. John & Storey (pro sp.),Gesneriaceae,woody,na,spring,dry,full sun
415,Scouler's Woollyweed,Hieracium scouleri Hook. var. scouleri,Asteraceae,woody,na,fall,wet,partial shade
416,Cardinal Beardtongue,Penstemon cardinalis Wooton & Standl. ssp. regalis (A. Nelson) Nisbet & R.C. Jacks.,Scrophulariaceae,herbaceous,annual,fall,moderate,full sun
417,Aztec Goldenbush,Isocoma azteca G.L. Nesom,Asteraceae,herbaceous,perennial,fall,moderate,full sun
418,Maryland Meadowbeauty,Rhexia mariana L. var. ventricosa (Fernald & Grisc.) Kral & Bostick,Melastomataceae,woody,na,fall,wet,full sun
419,Common Stickyseed,Blennosperma nanum (Hook.) S.F. Blake var. nanum,Asteraceae,woody,na,spring,wet,partial shade
420,Meadow Bistort,Polygonum bistorta L.,Polygonaceae,woody,na,spring,dry,full sun
421,Alpine Chickweed,Cerastium alpinum L. ssp. lanatum (Lam.) Ces.,Caryophyllaceae,woody,na,fall,wet,full sun
422,Buckwheat,Eriogonum ×blissianum H. Mason,Polygonaceae,woody,na,fall,moderate,full shade
423,Alpine-ash,Eucalyptus delegatensis R.T. Baker,Myrtaceae,herbaceous,annual,fall,dry,partial shade
424,Coneflower,Rudbeckia L.,Asteraceae,herbaceous,perennial,spring,dry,partial shade
425,Orthotrichum Moss,Orthotrichum consimile Mitt.,Orthotrichaceae,woody,na,summer,moderate,partial shade
426,San Diego Sagewort,Artemisia palmeri A. Gray,Asteraceae,woody,na,spring,dry,partial shade
427,Cider Gum,Eucalyptus gunnii Hook. f.,Myrtaceae,herbaceous,annual,fall,moderate,full shade
428,Napali Coast Papala,Charpentiera densiflora Sohmer,Amaranthaceae,woody,na,summer,moderate,partial shade
429,Greater Yellow Lady's Slipper,Cypripedium parviflorum Salisb. var. pubescens (Willd.) Knight,Orchidaceae,woody,na,spring,wet,full sun
430,Large Adderstongue,Ophioglossum polyphyllum A. Braun,Ophioglossaceae,herbaceous,biannual,summer,dry,full sun
431,Oregon Stonecrop,Sedum oreganum Nutt.,Crassulaceae,herbaceous,perennial,summer,dry,partial shade
432,Alpine Speedwell,Veronica alpina L.,Scrophulariaceae,herbaceous,annual,spring,moderate,full sun
433,Longleaf Buckwheat,Eriogonum longifolium Nutt.,Polygonaceae,herbaceous,biannual,spring,dry,full shade
434,Elliptic Yellowwood,Ochrosia elliptica Labill.,Apocynaceae,herbaceous,perennial,summer,moderate,partial shade
435,Lost River Draba,Draba hitchcockii Rollins,Brassicaceae,woody,na,summer,moderate,full shade
436,Birdcherry,Eugenia monticola (Sw.) DC.,Myrtaceae,herbaceous,biannual,spring,dry,full sun
437,Arkansas Dozedaisy,Aphanostephus skirrhobasis (DC.) Trel. var. skirrhobasis,Asteraceae,woody,na,spring,moderate,partial shade
438,Pygmypoppy,Canbya Parry ex A. Gray,Papaveraceae,woody,na,spring,moderate,partial shade
439,'ala'a,Pouteria sandwicensis (A. Gray) Baehni & O. Deg.,Sapotaceae,herbaceous,biannual,spring,wet,full sun
440,Cooper's Lipfern,Cheilanthes cooperae D.C. Eaton,Pteridaceae,herbaceous,annual,spring,dry,partial shade
441,Dwarf Hackberry,Celtis tenuifolia Nutt.,Ulmaceae,herbaceous,perennial,fall,dry,full sun
442,Jamaican Nettletree,Trema micrantha (L.) Blume,Ulmaceae,woody,na,spring,wet,full sun
443,Akee,Blighia sapida K.D. Koenig,Sapindaceae,woody,na,spring,moderate,full sun
444,Dwarf Checkerbloom,Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. rostrata (Eastw.) Wiggins,Malvaceae,herbaceous,perennial,summer,dry,full shade
445,Walking-stick Palm,Linospadix monostachya (Mart.) H. Wendl.,Arecaceae,herbaceous,biannual,summer,moderate,full sun
446,Utah Serviceberry,Amelanchier utahensis Koehne,Rosaceae,woody,na,spring,moderate,full shade
447,Cucubano De Vieques,Guettarda odorata (Jacq.) Lam.,Rubiaceae,herbaceous,annual,summer,dry,full shade
448,Spiny Cliffbrake,Pellaea truncata Goodding,Pteridaceae,herbaceous,perennial,fall,dry,partial shade
449,Washington Springbeauty,Claytonia washingtoniana (Suksd.) Suksd.,Portulacaceae,herbaceous,biannual,summer,wet,partial shade
450,Dotted Lichen,Bacidia pallens (Kullhem) Zahlbr.,Bacidiaceae,herbaceous,biannual,spring,wet,partial shade
451,Barrelier's Woodsorrel,Oxalis barrelieri L.,Oxalidaceae,woody,na,summer,dry,full shade
452,Japanese False Bindweed,Calystegia hederacea Wall.,Convolvulaceae,herbaceous,annual,fall,wet,partial shade
453,Makou,Peucedanum sandwicense Hillebr.,Apiaceae,herbaceous,annual,spring,moderate,full shade
454,Panicledleaf Ticktrefoil,Desmodium paniculatum (L.) DC. var. paniculatum,Fabaceae,herbaceous,biannual,fall,wet,partial shade
455,Chocolateweed,Melochia corchorifolia L.,Sterculiaceae,herbaceous,annual,summer,dry,full sun
456,Slender Woollyheads,Psilocarphus tenellus Nutt. var. globiferus (Bertero ex DC.) Morefield,Asteraceae,herbaceous,perennial,fall,wet,full sun
457,Small-leaf Delissea,Delissea lauliiana Lammers,Campanulaceae,herbaceous,annual,summer,dry,full shade
458,Baker's Alpineparsley,Oreoxis bakeri J.M. Coult. & Rose,Apiaceae,herbaceous,biannual,summer,moderate,full sun
459,Dye Popcornflower,Plagiobothrys infectivus I.M. Johnst.,Boraginaceae,woody,na,fall,moderate,full sun
460,Birdnest Fern,Asplenium polyodon G. Forst. var. sectum (Hillebr.) Morton,Aspleniaceae,woody,na,fall,wet,full shade
461,Thimble Grass,Fingerhuthia sesleriiformis Nees,Poaceae,woody,na,fall,dry,partial shade
462,Iliau,Wilkesia A. Gray,Asteraceae,woody,na,spring,wet,full sun
463,Alaska Bluegrass,Poa paucispicula Scribn. & Merr.,Poaceae,woody,na,spring,wet,full sun
464,Inyo Rockcress,Arabis inyoensis Rollins,Brassicaceae,woody,na,spring,wet,full sun
465,Largepod Pinweed,Lechea intermedia Leggett ex Britton var. intermedia,Cistaceae,woody,na,fall,moderate,partial shade
466,Convex Entosthodon Moss,Entosthodon planoconvexus (E.B. Bartram) Grout,Funariaceae,herbaceous,annual,summer,dry,partial shade
467,Cushion Townsend Daisy,Townsendia condensata Parry ex A. Gray var. anomala (Heiser) Dorn,Asteraceae,herbaceous,annual,fall,dry,full shade
468,Climbing Aster,Ampelaster carolinianus (Walter) G.L. Nesom,Asteraceae,woody,na,spring,dry,partial shade
469,Lyrepod,Lyrocarpa Hook. & Harv. ex Harv.,Brassicaceae,herbaceous,annual,summer,dry,full shade
470,Hawai'i Hala Pepe,Pleomele hawaiiensis O. Deg. & I. Deg.,Liliaceae,herbaceous,biannual,spring,moderate,partial shade
471,Alabama Serviceberry,Amelanchier arborea (Michx. f.) Fernald var. alabamensis (Britton) G.N. Jones,Rosaceae,herbaceous,biannual,spring,dry,full shade
